timestamp,precipitation (mm),relativehumidity AVG (-),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius),label
2022-10-15 22:00,0.0,0.8556388888888887,20.18888888888889,20.466666666666665,19.966666666666665,-1
2022-10-15 23:00,0.0,0.8949444444444445,19.88888888888889,20.233333333333334,19.666666666666668,-1
2022-10-16 00:00,0.0,0.91525,19.87222222222222,20.133333333333336,19.633333333333336,-1
2022-10-16 01:00,0.0,0.9286388888888888,19.516666666666666,19.933333333333337,19.26666666666667,-1
2022-10-16 02:00,0.0,0.9190833333333334,19.11111111111111,19.466666666666665,18.666666666666668,-1
2022-10-16 03:00,0.0,0.928527777777778,18.60555555555555,18.866666666666664,18.4,-1
2022-10-16 04:00,0.0,0.9233055555555556,19.36388888888889,19.866666666666667,18.933333333333337,-1
2022-10-16 05:00,0.0,0.9045,20.79722222222222,21.633333333333336,19.96666666666667,-1
2022-10-16 06:00,0.0,0.8378333333333332,23.038888888888888,24.23333333333333,21.7,-1
2022-10-16 07:00,0.0,0.7559166666666667,25.125,26.166666666666668,24.1,-1
2022-10-16 08:00,0.0,0.677,26.702777777777783,27.46666666666667,26.166666666666668,-1
2022-10-16 09:00,0.0,0.6461666666666667,27.686111111111114,28.13333333333333,27.133333333333336,-1
2022-10-16 10:00,0.0,0.6220833333333333,28.319444444444443,28.733333333333334,27.96666666666667,-1
2022-10-16 11:00,0.0,0.6321388888888889,27.63888888888889,28.3,26.6,-1
2022-10-16 12:00,1.3543333333333336,0.7731717171717173,24.305555555555554,26.5,22.63333333333333,-1
2022-10-16 13:00,2.029666666666667,0.8830555555555556,19.991666666666667,22.899999999999995,16.833333333333332,-1
2022-10-16 14:00,1.6610000000000005,0.9280833333333331,17.84166666666667,18.333333333333332,17.3,-1
2022-10-16 15:00,0.0396666666666666,0.9159166666666666,18.436111111111114,18.666666666666668,18.166666666666668,-1
2022-10-16 16:00,0.0,0.9220833333333333,18.808333333333337,19.166666666666668,18.5,-1
2022-10-16 17:00,0.0,0.9039444444444444,19.163888888888888,19.433333333333337,18.966666666666665,-1
2022-10-16 18:00,0.0,0.8652500000000001,19.438888888888886,19.73333333333333,19.26666666666667,-1
2022-10-16 19:00,0.0,0.8804444444444445,19.79166666666667,19.966666666666665,19.566666666666663,-1
2022-10-16 20:00,0.0,0.8859722222222223,19.936111111111114,20.166666666666668,19.73333333333333,-1
2022-10-16 21:00,0.0,0.8864444444444445,20.061111111111114,20.366666666666667,19.7,-1
2022-10-16 22:00,0.0,0.8816944444444444,19.73888888888889,19.933333333333337,19.5,-1
2022-10-16 23:00,0.0,0.8810833333333332,19.47222222222222,19.6,19.333333333333332,-1
2022-10-17 00:00,0.0,0.8855000000000001,19.372222222222224,19.5,19.233333333333334,-1
2022-10-17 01:00,0.051,0.9061111111111112,19.102777777777774,19.333333333333332,18.833333333333332,-1
2022-10-17 02:00,0.0,0.9179444444444445,18.691666666666663,18.8,18.6,-1
2022-10-17 03:00,0.0,0.922972222222222,18.597222222222225,18.666666666666668,18.5,-1
2022-10-17 04:00,0.0,0.927222222222222,18.877777777777776,19.1,18.733333333333334,-1
2022-10-17 05:00,0.0,0.9269166666666668,19.477777777777774,20.000000000000004,19.1,-1
2022-10-17 06:00,0.0,0.896638888888889,20.91111111111111,21.633333333333336,20.1,-1
2022-10-17 07:00,0.0,0.8665277777777778,22.813888888888886,23.766666666666666,21.733333333333334,-1
2022-10-17 08:00,0.0,0.8136388888888889,23.883333333333336,24.13333333333333,23.7,-1
2022-10-17 09:00,0.0,0.7869999999999999,24.086111111111112,24.366666666666664,23.833333333333332,-1
2022-10-17 10:00,0.0,0.7553055555555556,24.45277777777778,24.733333333333334,24.100000000000005,-1
